product_category,problem,repair_status,brand,model,year_of_manufacture
misc,pressure washer no pressure,fixed,Unknown,Unknown,????
misc,glue gun,fixed,Unknown,Unknown,????
misc,overlocking machine,fixed,Unknown,Unknown,????
misc,wooden chair supports missing follow up fix at men in sheds,repairable,Unknown,Unknown,????
laptop,download needed,repairable,Unknown,Unknown,????
misc,follow up fix at men in sheds,repairable,Unknown,Unknown,????
misc,ottoman advice given follow up fix at men in sheds,repairable,Unknown,Unknown,????
misc,very large infrared heated mirror inspected and advice given,repairable,Unknown,Unknown,????
hi fi separates,cassette deck one deck of two not working no cassette to test follow up fix at men in sheds,repairable,Unknown,Unknown,????
misc,wooden mirror stand follow up fix at men in sheds,repairable,Unknown,Unknown,????
misc,necklace rethreaded,fixed,Unknown,Unknown,????
hair beauty item,heated hairbrush dryer moving part not moving needs diodes follow up fix at men in sheds,repairable,Unknown,Unknown,????
misc,necklace magnetic fastener problem identified and advice given,repairable,Unknown,Unknown,????
misc,electric space heater,fixed,Dimplex,Unknown,????
misc,shopping trolley wheel clip,fixed,Unknown,Unknown,????
lamp,loose connection in euro to uk mains adaptor just needed tightening,fixed,Tom Dixon,Unknown,????
tv and gaming related accessories,failed power supply board,repairable,Panasonic,sa-pt470,????
vacuum,the motor is probably gone the fuse has shortened,end of life,Electrolux,Unknown,????
laptop,problem not found,repairable,HP,Unknown,????
handheld entertainment device,advice given,repairable,Apple,Ipod,????
paper shredder,shredder,fixed,Unknown,Unknown,????
hair beauty item,electrical wire fixed need to build a moveable swich,repairable,Unknown,Unknown,????
tablet,issue with password connected to wifi in order to get access to factory settings to modify password and get into device,fixed,HP,Unknown,????
vacuum,hair stuck cleaned the device and it worked,fixed,Electrolux,Unknown,????
tablet,not starting up,end of life,Apple,iPod,????
mobile,windows phone needs advice on anti virus software not available at event,repairable,Unknown,Unknown,????
tablet,cracked screen parts not available at the event,repairable,Apple,iPad,????
power tool,drill purchased from the states not compatible with uk power supply,end of life,Dremel,Unknown,????
headphones,no repair needs parts referred to hackspace,repairable,Unknown,Unknown,????
lamp,table lamp 1970s needed rewiring owner went and bought wire to complete the repair,fixed,Unknown,Unknown,????
power tool,circular saw not turning well parts needed referred to backspace,repairable,Unknown,Unknown,????
misc,electrical tester battery leak and battery stick in device,fixed,Kewtech,Unknown,????
misc,steam mop not working checked wiring,repairable,Unknown,Unknown,????
portable radio,power getting to board checked but no life,end of life,Unknown,Unknown,????
vacuum,needs security screw driver looks to be full of dirt,repairable,Dyson,Unknown,????
handheld entertainment device,portable cd player wire had come of speaker,fixed,Unknown,Unknown,????
portable radio,faulty lcd no parts needed,fixed,Technika,Unknown,????
misc,referred to hackspace loose connection,repairable,BT,JBL,????
portable radio,loose tuner and poor reception,fixed,Roberts,Unknown,????
misc,lid stuck,fixed,Pure,Unknown,????
vacuum,new plug needed to be fitted by owner,repairable,VAX,Unknown,????
portable radio,faulty dc socket,repairable,Roberts,Unknown,????
portable radio,faulty socket from mains low voltage cable,repairable,Unknown,Unknown,????
misc,clock radio faulty pcb press switches needed,repairable,Unknown,Unknown,????
power tool,drill defect in cable cut back and reattached,fixed,Unknown,Unknown,????
misc,steam mop motor pump operating weakly no access to unit,end of life,Unknown,Unknown,????
toy,base starion corroded battery connector,fixed,Hot Wheels,Unknown,????
lamp,fuse blown,fixed,Unknown,Unknown,????
laptop,slow and buggy possible malware,fixed,Apple,Mac,????
laptop,noisy fan,fixed,HP,Unknown,????
handheld entertainment device,chews tape,repairable,Sony,Walkman,????
hi fi separates,cd tape machine not working made a bang,end of life,JVC,Unknown,????
pc accessory,travel adaptor for laptop plug needed resoldering,fixed,HP,HSP-HSTNN-DA14,????
pc accessory,multiple hard drives do not power up needed testing,fixed,Unknown,Unknown,????
laptop,black macbook needs speeding up,fixed,Apple,Macbook,????
pc accessory,frayed cable,fixed,Apple,Macbook charger,????
laptop,notebook not charging needs part for fix,end of life,Samsung,Unknown,????
tv and gaming related accessories,remote control stopped working due to contacts needing a clean,fixed,Yamaha,CRX-E2CC,????
misc,bike light turns off mid ride diagnosed ran out of time for fix,repairable,CATEYE,Unknown,????
headphones,needs soldering,fixed,Sennheiser,Unknown,????
laptop,loose charging port,fixed,ASUS,Unknown,????
portable radio,doesn t turn on,fixed,Sony,Unknown,????
projector,spanish no power ran out of time to diagnose,end of life,Unknown,Unknown,????
tv and gaming related accessories,remote control faulty connection repaired by soldering joint,fixed,Unknown,Unknown,????
kettle,dodgy switch,end of life,Kenco,JKP210,????
laptop,weird software issue gave advice need more time,repairable,Toshiba,C500,????
hair beauty item,clothing steamer is dead issue with adaptor workaround created,fixed,Esteam,Unknown,????
hair beauty item,battery shaver not working fixed,fixed,Braun,370,????
mobile,inconsistent wifi,fixed,Apple,iPhone 5SE,2013
musical instrument,multimusic device lights but no sound user issue advice given,fixed,Leetac,Unknown,????
tablet,need to back up device and something else advice given on safe disposal,repairable,Microsoft,Surface Pro 3,????
misc,tape punch puncher sticking solenoid,repairable,Unknown,Unknown,????
desktop computer,powers off after a few seconds work in progress possible power supply,repairable,Dell,Unknown,????
pc accessory,power supply rewired and fixed,fixed,Unknown,Unknown,????
desktop computer,more time needed,repairable,Unknown,Unknown,????
pc accessory,hard drive had a part stuck in it restarter pulled it out difficult,fixed,Unknown,Unknown,????
digital compact camera,2 x faults battery stuck can t charge and lens cover stuck butter was removed and charged lens cover was opened now won t close but otherwise camera works as normal,fixed,Panasonic,lumix,????
laptop,deleted multiple antivirus software and now it s running fine,fixed,Unknown,Unknown,????
mobile,possibly repairable but beyond the capabilities of our team,repairable,Apple,iPhone,????
tablet,needs driver some progress but still needs work,fixed,Samsung,Unknown,????
pc accessory,hard drive advice was needed and advice was given,fixed,Unknown,Unknown,????
small kitchen item,nut grinder a loose part was glued back into place,fixed,Unknown,Unknown,????
handheld entertainment device,device will not turn on probably still in warranty customer to investigate,repairable,Amazon,Kindle,????
handheld entertainment device,device will not turn on was too hard for our team,end of life,Amazon,Kindle,????
small kitchen item,weighing scale advised on how to get around broken battery cover,repairable,Unknown,Unknown,????
small kitchen item,blender repaired worn blade connection with formcard,fixed,Unknown,Unknown,????
lamp,lamp fuse needed,repairable,Unknown,Unknown,????
lamp,loose connection,fixed,Unknown,Unknown,????
printer scanner,b w fixed,fixed,HP,Unknown,????
misc,pulse oximeter need replacement,repairable,Unknown,Unknown,????
misc,sunriser alarm clock needs a new fuse,repairable,Unknown,Unknown,????
headphones,resoldered,fixed,Sennheiser,Unknown,????
printer scanner,needs cleaning,repairable,Unknown,Unknown,????
lamp,lava lamp loose connection new bulb needed,repairable,Unknown,Unknown,????
toaster,element repaired rewiring to continue at home,repairable,Unknown,Unknown,????
tv and gaming related accessories,dvd player needs new power supply board,repairable,Unknown,Unknown,????
misc,steam iron possible blown element,end of life,Unknown,Unknown,????
laptop,possible psu or battery problem,repairable,Unknown,Unknown,????
vacuum,ran out of time,repairable,Unknown,Unknown,????
hi fi integrated,power supply issue blown fuse,repairable,Unknown,Unknown,????
misc,needed new parts,repairable,Philips,Unknown,????
laptop,wouldn t start,fixed,Apple,Macbook,????
handheld entertainment device,wouldn t start,fixed,Apple,iPod,????
hi fi separates,wouldn t start,fixed,Philips,Unknown,????
hi fi separates,cassette player still won t work but radio now works,fixed,Unknown,B80,????
desktop computer,wouldn t update,repairable,HP,Unknown,????
misc,wristwatch with broken battery,fixed,Unknown,Unknown,????
laptop,charging port wouldn t work,fixed,Sony,Unknown,????
laptop,sluggish,fixed,HP,Unknown,????
toaster,internal mechanism,fixed,Nordica,Unknown,????
misc,electronic adjustable height table had stopped working,fixed,IKEA,Unknown,????
lamp,scanlight,repairable,Unknown,Unknown,????
small kitchen item,could not be repaired,end of life,Breville,VHB067,????
hair beauty item,nothing wrong with it,fixed,Fanyi,JD2025,????
vacuum,blocked education for maintenance of filter,fixed,Dyson,DC04 Ball,????
small kitchen item,spoon glued back together,fixed,Unknown,Unknown,????
tv and gaming related accessories,controller need parts next time,repairable,Microsoft,Xbox 1,????
laptop,fan cleared and rubber feet added for additional clearnance,fixed,Acer,Aspire 5742,????
hair beauty item,hair clippers cleaned and oiled and now working fine,fixed,Wahl,Unknown,????
tv and gaming related accessories,controller needs parts for next month,repairable,Microsoft,Xbox 1,????
decorative or safety lights,1m of lights re soldered,fixed,Unknown,Unknown,????
tablet,broken connector resoldered surface mounted,fixed,Hudl,Unknown,????
misc,motors replaced,fixed,Hubsan,RC Series 4 remote control helicopt,????
small kitchen item,handle slightly damaged education on how to use it with the broken switch,fixed,Kenwood,Multipro,????
misc,dining room chair re attached back cushion,fixed,Dinette,Unknown,????
kettle,wrong cable,fixed,Morphy Richards,Unknown,????
lamp,switch soldered but needs to be replaced,fixed,Unknown,Unknown,????
laptop,took data from old laptop that could not be repaired,end of life,Unknown,Unknown,????
misc,flap re sewed,fixed,Asos,Black rucksack,????
misc,holdall zip re attached,fixed,Unknown,Unknown,????
misc,necklace clasp mended,fixed,Unknown,Unknown,????
misc,garden chair,repairable,Unknown,Unknown,????
misc,brass hunting horn solder requires a blow torch coming back next time to r lab,repairable,Unknown,Unknown,????
mobile,battery replacement using ifixit battery replacement kit,fixed,Apple,iPhone 6s,2015
kettle,not turning on blown fuse due to irregular power supply,fixed,Russell Hobbs,20070,????
misc,2017 10 01 sunday garret brought in some set top boxes and cable modems to take apart and recycle recovered 500gb hdd and some nice pcb switches,end of life,Unknown,Unknown,????
misc,2017 10 03 tuesday paul b and martin investigated replacement of the lathe speed controller replaced it and then believed it was broken again peter had a look and it now seems to work,fixed,Unknown,Unknown,????
mobile,2017 10 03 tuesday joe had a mobile phone that had lost the soldered joint to the wifi arial that needed re soldering however closer inspection revealed that the solder pad had come away with the tab and couldn t be repaired,end of life,Unknown,Unknown,????
misc,electric scooter 2017 10 10 tuesday a visitor had a faulty electric scooter alas i neither caught her name nor fixed the scooter andres note justine,repairable,Unknown,Unknown,????
desktop computer,2017 10 13 friday donated hp desktop laptop screen keyboard mouse and ethernet cable the screen was faulty and flickered off at a later date replaced with a working screen gave a short introduction to ubuntu gnu linux conclusion very intuitive,fixed,Unknown,Frankenstain,????
laptop,2017 10 13 friday donated hp desktop laptop screen keyboard mouse and ethernet cable the screen was faulty and flickered off at a later date replaced with a working screen gave a short introduction to ubuntu gnu linux conclusion very intuitive,fixed,Unknown,Frankenstain,????
small kitchen item,2017 10 24 tuesday dan tried to repair a homogeniser that had burnt,repairable,Unknown,Unknown,????
misc,2017 10 24 tuesday jean was hoping for some help repairing some extending pruning shears but we concluded they were beyond repair,end of life,Unknown,Unknown,????
misc,2017 10 31 tuesday paul e also found a solution to peter s brake light problem,fixed,Unknown,Unknown,????
mobile,2017 10 31 mark also had a go at jan s iphone problem but no solution could be found,repairable,Apple,iPhone,????
laptop,2017 11 07 tuesday david w brought along a computer with an internet connectivity problem ianb did his best to advise but the problem may remain with the router,repairable,Unknown,Unknown,????
toaster,only toasting one side heating element needs replace,repairable,Morphy Richards,Unknown,????
printer scanner,print head warning light a restarter cleaned the print head with alcohol but the printer would not accept it theorised to be a programmed failure on the print head chip requiring a replacement part repairable but likely discarded over part cost,end of life,Canon,ip7250,????
vacuum,small battery powered carpet cleaner attached to a long handle brand model forgotten the handle had snapped off from the hinge as a clip had snapped off the hinge also seemed to be stuck in one position after freeing the hinge and offering to glue the handle onto it with epoxy resin the user decided that the two positions angles the handle was now moving between were not practical and decided against the repair,end of life,Unknown,Unknown,????
printer scanner,error code for print head ink system failure a restarter cleaned the print head with alcohol but the printer would not accept it theorised to be a programmed failure on the print head chip requiring a replacement part we found instructions for a factory reset on youtube but they did not work for us repairable but likely discarded over part cost,end of life,HP,Photosmart Plus B210a,????
tablet,cracked screen owner did not have a spare part and neither did we repair deferred,repairable,Apple,iPad,????
small kitchen item,the power cable was coming loose from its plastic strain relief guide and could be damaged by flexing we offered to stick the cable in place from outside with sugru or heat shrink tubing or to open the top cap bearing its speed dial in order to see if internal damage had been done causing the cable to pull out further than it should fearing damaging the rotary switch or not being able to get it back together due to a complete lack of screws bolts in its build the owner opted to simply hold it in with he,fixed,Braun,Hand Blender Multi Quick Professional,????
toaster,no sign of life needs difficult part,repairable,Dualit,Unknown,????
hi fi integrated,no sign of life can t test no speaker advice on speaker,repairable,Kenwood,Unknown,????
lamp,table lamp no sign of life bulb issue,fixed,Unknown,Unknown,????
small kitchen item,milk frother no sign of life motherboard needs checking donated to a person for sacrifice of parts,end of life,Krups,Unknown,????
handheld entertainment device,mp3 player dropped it now nothing works just needs part possible,repairable,iriver,Unknown,????
portable radio,works for a bit then fades has new power lead advice given,repairable,Pure,Elan,????
vacuum,poofs out quickly little suction,fixed,VAX,Unknown,????
lamp,anglepoise no light fuse replaced,fixed,Unknown,Unknown,????
dlsr video camera,switch not connecting does switch on,fixed,GoPro,Unknown,????
laptop,overheating doesn t stay on when unplugged fan needed fixable,repairable,HP,Unknown,????
laptop,nothing happens bios problem fixable,repairable,HP,Unknown,????
laptop,slow sound is daleky works fine,fixed,ASUS,Eee,????
toaster,toast lifting mechanism not working,fixed,Breville,Unknown,????
portable radio,radio alarm volume button does not work random raises and lowers volume,fixed,ICGS,Unknown,????
mobile,battery drains really fast,end of life,Apple,IP3,2008
portable radio,volume button not working,fixed,Grundig,Unknown,????
mobile,fire wire as a headphone connection not working,repairable,Apple,IP 7,2016
pc accessory,battery drains really fast solved as a software issue,repairable,Apple,Mouse,????
small kitchen item,sandwich grill short circuits,fixed,Unknown,Unknown,????
mobile,crashes fixed with software cleanup and making space,fixed,Apple,Ipad,????
mobile,broken screen to order spare parts,repairable,Samsung,Galaxy 4 s,2013
mobile,menu button does not work to order spare parts,repairable,Apple,Iphone 6,2014
mobile,water damage got wet over one month ago no instantaneous drying process,end of life,Apple,Iphone 6s,2015
mobile,not functioning well needed data cleanup and software updates,repairable,Apple,Iphone 5,2012
small kitchen item,grill loss of power during use worn cables,fixed,George Foreman,Healty choice,????
small kitchen item,juicer had stopped working fault identified as non working swtich participant will source a new switch and return next time for help in installing it,repairable,Unknown,Unknown,????
decorative or safety lights,fairy lights not working broken wire soldered and sugru d,fixed,Unknown,Unknown,????
portable radio,aerial connection faulty resoldered info given so that aerial earth could be connected via screw when home sugru used to secure ariel,fixed,Unknown,Unknown,????
misc,sewing machine wasn t turning on but when we plugged it in and switched it on it started working bulb flickers so needs to be replaced given a good clean and dust inside,fixed,Unknown,Unknown,????
paper shredder,plastic ridge to depress safety switch had broken off glued on piece of plastic card to replace it,fixed,Unknown,Unknown,????
small kitchen item,juicer switch failed continuity test so customer taking away to get replacement switch will return next month for help in replacing it,repairable,Unknown,Unknown,????
lamp,broken base superglued and temporarily taped until strong,fixed,Unknown,Unknown,????
portable radio,system boot happened,fixed,Pure,Unknown,????
toaster,needs testing,end of life,Unknown,Unknown,????
misc,mended polar fleece gloves,fixed,Unknown,Gloves,????
misc,pine drawers advice given for mending,repairable,Unknown,Unknown,????
portable radio,cf player removed 2 cds from deck where one should have been,fixed,Philips,DAB FM,????
hi fi separates,phono pre amp,fixed,NAD,Unknown,????
portable radio,cd player removed 2 cds from deck where one should have been,fixed,Philips,DAB FM,????
misc,earrings fixed silver earrings stone setting,fixed,Unknown,Unknown,????
misc,earrings need soldering,repairable,Unknown,Unknown,????
misc,necklace broken clasp replaced,fixed,Unknown,Unknown,????
misc,necklace repaired leather necklace,fixed,Unknown,Unknown,????
lamp,re wired,fixed,Anglepoise,Unknown,????
tv and gaming related accessories,dvd recorder blown capacitor fixed,fixed,Panasonic,DMR-EZ28,????
tablet,replaced screen,fixed,Amazon,Kindle,????
hi fi separates,cassette recorder replaced belts,repairable,Sony,TC-K611S,????
misc,6 chairs need different type of staples,repairable,Unknown,Unknown,????
small kitchen item,doesn t turn on,fixed,Cuisinart,DLC 10 Plus,????
small kitchen item,cat chewed cord,fixed,Pets Mate,Unknown,????
small kitchen item,stopped working,repairable,Krups,L08,????
misc,flourescent ballast needs to know how to use learned how to use,fixed,Unknown,Unknown,????
misc,flourescent ballast does not start fresh tubes participant came having tried new tubes worked with fixer to identify what kind of tubes needs and how to install,repairable,Unknown,Unknown,????
misc,calculator heard a bad sound then stopped working,fixed,Casio,DL-220LA,????
small kitchen item,pencil sharpener jammed fixer unjammed,fixed,Panasonic,KP-310,????
mobile,intermittently can t charge usb port malfunction owner did research on web tried to clean port used other charging cords fixer determined usb cord dead replaced,fixed,Motorola,Moto E 2nd Generation,????
handheld entertainment device,cd function not working,fixed,Philips,AZ 1140,????
lamp,needs switch,fixed,Wedgewood,Unknown,????
lamp,switch bad,fixed,Unknown,Unknown,????
headphones,bad cord,fixed,Sony,DRS100,????
small kitchen item,numbers get stuck while flipping,fixed,Copal,Unknown,????
lamp,bulb flickers,fixed,Amprobe Instruments,Lampette E6,????
lamp,fixer determined power supply is bad instructed participant where to get another and how to install,repairable,IKEA,ELP 001C0700PE,????
small kitchen item,blender rattles when used fixer determined rattle isn t in the motor so not dangerous to use will buy a replacement carafe base or replacement blade assembly and see if rattle resolves,repairable,Krups,KP790,????
kettle,sparking intermittently,fixed,Unknown,Unknown,????
tablet,ereader appears battery is dead owner bought a replacement but can t remove old has watched youtube videos of similar models and bought tools to do but can t fixer replaced bad battery but still not working owner will charge battery when home,repairable,Sony,PRS-950,????
small kitchen item,countertop mixer tilthead not level motor oil leaks into bowl owner has tried to tighten hinge unfortunately did not report what tried or will do only that owner would complete at home,repairable,KitchenAid,Artisan,????
misc,sewing machine not stitching due to bobbin threading issue,repairable,Singer,CG-590,????
handheld entertainment device,cd player car radio buttons to change stations don t work owner took off back cor but buttons are hidden by computer board,repairable,Sony,SiriusXM,????
misc,space heater won t turn on,fixed,Intertek,HFQ 15A,????
handheld entertainment device,radio,end of life,Bose,Unknown,????
fan,makes noise when turned on but blades don t spin fixer determined motor seems dead,end of life,Vornado,183 Compact,????
small kitchen item,clock hands don t turn grinding sound deterimned stripped gear cannot take apart to repair without causing major damage,end of life,Westclock,22090-22540,????
toy,electronic screen,fixed,Unknown,Unknown,????
small kitchen item,cooking robot,end of life,Moulinex,Unknown,????
mobile,was freezing on app,fixed,Apple,iPhone,????
mobile,broken keyboard connector,end of life,Samsung,C3050,????
toaster,timer bell doesn t work when heat cycle completed,end of life,Black & Decker,TRO480BS,????
kettle,water leaks out of bottom,repairable,Breville,Ikon,????
portable radio,poor reception,repairable,Unknown,Unknown,????
fan,tower fan no longer oscillates,repairable,Honeywell,Unknown,????
tablet,wont boot up,repairable,Acer,Iconia A-810,????
small kitchen item,won t turn on,repairable,KitchenAid,Profl 6,????
misc,doesn t work,repairable,FoodSaver,Vac 370,????
toaster,upper element doesn t heat,repairable,Emerson,Unknown,????
small kitchen item,waffle iron overheating,repairable,Unknown,Dominion Electric style #1301,????
toaster,one of toaster bulbs won t turn on,repairable,Black & Decker,Unknown,????
flat screen,won t power on last clinic learned need 3 capacitors soldered them and worked,fixed,Unknown,Unknown,????
toaster,bottom elements not working,fixed,George Foreman,8 in 1 toaster,????
misc,sewing machine cannibalized from other machine brought in,fixed,Unknown,Unknown,????
lamp,desk lamp wiring shredded,fixed,Unknown,Unknown,????
portable radio,static,fixed,Unknown,Unknown,????
misc,toy piano battery operated,fixed,Unknown,Unknown,????
lamp,switch slips out of position,fixed,Unknown,Unknown,????
vacuum,not sucking took apart and cleaned all,fixed,Bissell,9595,????
small kitchen item,minute minder timer doesn t work cleaned battery ends,fixed,Unknown,Unknown,????
misc,juicer makes a shirring noise and doesn t work,fixed,Proctor Silex Jucit,J111C,????
misc,drill switch works intermittently,fixed,DeWalt,DW991,????
misc,8gb sdhc camera card damaged fixer able to extract data send to dropbox account,fixed,SanDisk,Unknown,????
misc,works only sometimes participant notes fixer used voodoo to repair,fixed,Braun,Unknown,????
handheld entertainment device,hi 8 video recorder,fixed,Sony,Unknown,????
lamp,need to change socketes from bayonet to twist on,fixed,Unknown,Unknown,????
pc accessory,erratic,repairable,Apple,Unknown,????
small kitchen item,liquidiser wouldn t turn on,end of life,Unknown,Unknown,????
misc,jammed knob which means it was unusable,fixed,Brother,Unknown,????
fan,blower,repairable,Unknown,Unknown,????
misc,google home no voice recognition,repairable,Google,Unknown,????
mobile,screen too dark,fixed,Apple,iPhone,????
misc,extension plug,fixed,Unknown,Unknown,????
laptop,retrieval of photos,fixed,Unknown,Unknown,????
lamp,wouldn t switch on,fixed,Unknown,Unknown,????
portable radio,no volume control and cover won t open,repairable,Unknown,Unknown,????
misc,lava lamp no power,fixed,Unknown,Unknown,????
hair beauty item,hairdyer,fixed,Unknown,Unknown,????
fan,rattling,fixed,Unknown,Unknown,????
tv and gaming related accessories,wouldn t power on,fixed,Nintendo,Wii,????
dlsr video camera,memory card slot not functioning correctly,fixed,Lumix,Unknown,????
mobile,screen broken need spare part which has been ordered and advice given,repairable,Unknown,Unknown,????
kettle,leaking couldn t open without destroying it,end of life,Unknown,Unknown,????
mobile,not recognising id,repairable,Apple,iPhone,????
laptop,wifi not connecting,repairable,Unknown,Unknown,????
small kitchen item,popcorn maker not working,repairable,Unknown,Unknown,????
small kitchen item,milk frother tightening and needed soldering,fixed,Unknown,Unknown,????
laptop,capacitor detached with broken pins need replacement capacitor,fixed,Sony,PCG71811M,????
small kitchen item,squeezer gear broken replaced with a similar gear,fixed,Optima,SP70C,????
vacuum,power was cutting out when cord flexed at input we opened the vacuum casing by removing all screws behind the bagless bucket cylinder then un clamped and un crimped the power cable from the internal circuits cut off about 6 inches of cable and fed it in further stripped the cable down to wire ends re crimped it back to connect to the circuit clamped the cable back down and re assembled the vacuum we also un clogged the hose where some muck was held back by a chip of wood,fixed,Panasonic,Eco-Max MC-L/L592,????
vacuum,the vacuum was still under warranty and had lost suction but the owner wanted to see if a quick fix or fault find was possible we un clogged the hose but that did not fix the problem our best hypothesis was that a seal in part of the bagless cylinder had been damaged at some point when emptying it and that a replacement part would be needed the owner decided to try and seek replacement parts under warranty to self fix or return it,repairable,Vax,Total Home,????
misc,small electric heater with fan nothing happened when plugged an powered on a 10a thermal fuse was fused changed with another one different kind but same value soldered with tin,fixed,Sekom,Unknown,????
laptop,no power on,end of life,Samsung,Unknown,????
toy,palla magica no batteries inside,fixed,Unknown,Unknown,????
vacuum,portable very small vacuum cleaner batteries exhausted and motor hard to rotate,end of life,Hoover,Unknown,????
portable radio,do not run,end of life,Sony,walkman,????
portable radio,teachers of this school give as another one with same problems,repairable,JVC,radio + CD + Cassette,????
portable radio,radio cd cassette another model same problems,repairable,Grundig,Unknown,????
printer scanner,2 inkjet printers with problems in loading paper tried cleaning cylinders but still not working,end of life,Unknown,Unknown,????
misc,laminating machine with a paper and plastic jam due to incorrect load,fixed,Unknown,Unknown,????
misc,alarm clock with buttons not working electric contacts cleaned tin soldered old buttonsbut not sufficient needed 8 new buttons and more time,repairable,Loewe,Unknown,????
laptop,it didn t work and owner was happy to bring to our restart party with us it booted and worked well several times maybe thanks to savino or my magic aura repairing is a nice kind of magic,fixed,LG,Unknown,????
small kitchen item,type hp102 d7electronic stovetoppropably the fuse is gone it will be hard to replace it,fixed,Domo,DO309KP,????
misc,chargerpropably the transformer is ruined one of the restarters had a extra transformer at home that we tried,repairable,TORQ,HD-18V,????
misc,portable speaker,fixed,Music Angel,JH-MD04E2,????
mobile,broken screeninformation given that it s possible to order spare parts and come to next event to put it together,repairable,Unknown,Unknown,????
dlsr video camera,doesn t turn on,repairable,Canon,EOS Rebel T6,????
mobile,the batterie was missing so hard to figure out what is wrong we ll take it with us next time too and continue with it,repairable,fairphone,fairphone 2,????
mobile,broken screen we opened the phone up and removed the screen next time participants can come with the spare parts new screen and put it in,repairable,Samsung,Galaxy Ace IIII,2013
portable radio,did not switch on switch fixed,fixed,Philips,Unknown,????
mobile,broken screen spare part needed,repairable,LG,G6,????
mobile,broken screen spare part available,fixed,Apple,iPhone 6s,2015
hi fi integrated,noise in motor of record,repairable,Panasonic,Recorder,????
vacuum,clogged did not suck,fixed,Samsung,VCJG,????
handheld entertainment device,ripped cord opened,end of life,Logitech,G500,????
laptop,broken screen spare part not available,repairable,Dell,Inspire,????
misc,did not heat water spare,end of life,Siemens,TC91,????
laptop,broken screen repairable,repairable,Apple,Macbook,2013
mobile,died no fix,end of life,LG,G4,????
lamp,needed new bulb socket,repairable,Unknown,Brok[...],????
hair beauty item,hair buttons broken off for,fixed,Revlon,Unknown,????
printer scanner,printer heads were blocked dan and ben worked on disassembling printer and cleaning print head,fixed,Epson,Stylus SX125,????
misc,air fryer analog timer broken,end of life,Daewoo,Unknown,????
lamp,halogen reading lamp transformer may be needed,repairable,Unknown,Unknown,????
small kitchen item,steamer exploded water came out,end of life,Polti,Unknown,????
hi fi separates,amplifier has power but lack of connection no signal between parts speakers are working,fixed,NAD,3020,????
hi fi integrated,record player 60 70 music plays too slowly,repairable,Unknown,Unknown,????
desktop computer,needs a new battery need to access the battery to find out what to buy battery replaced ssd mounted mint installed,fixed,HP Compaq ,DC5800 Microtower,????
laptop,windows 10 not working corrupted install or lack of driver support needs either re install factory reset or linux,repairable,Acer,Aspire 5749,????
misc,iron connection was out needed to be put in place,fixed,Philips,Azur 4013,????
tablet,usb charger its not working the tablet thinks it s charging when it s not needs a new micro usb port,repairable,Pronto Tec,Unknown,????
tablet,does not turn on needs a new battery,repairable,ASUS,Unknown,????
laptop,does not restart,fixed,Unknown,Unknown,????
portable radio,solar wind up radio dial jammed no radio sound fixed by taking apart and loosening dials,fixed,Unknown,Unknown,????
portable radio,valve radio no power obsolete parts identified power wires and ht leads,repairable,Ever Ready,Unknown,????
hi fi separates,bakelite external speaker does not work paper cone is gone,repairable,Unknown,Unknown,????
misc,electric shaver battery needs replacing,repairable,Unknown,Unknown,????
lamp,outside light intermittently working needs new battery,repairable,Unknown,Unknown,????
hi fi integrated,cd player working intermittently,fixed,Unknown,Unknown,????
lamp,table lamp won t turn on,fixed,Unknown,Unknown,????
hi fi separates,amp doesn t switch channels red light needs schematic to diagnose,fixed,Cambridge Audio,Unknown,????
laptop,unresponsive keyboard external keyboard was needed to see if this was fixable if so then would likely need a replacement keyboard as spare part,repairable,hp,g61,????
flat screen,no power blown capacitor needed replacing,fixed,toshiba,19dl502b,????
tablet,not charging new cable needed,fixed,amazon,kindle fire,????
handheld entertainment device,not charging new battery needed as old gave no voltage output,repairable,nintendo,3Ds,????
laptop,help needed to removing data,fixed,Unknown,Unknown,????
paper shredder,wasn t working gear wheel was jammed so cleared and now working,fixed,Unknown,Unknown,????
misc,removed blown bulb and checked connections,fixed,Unknown,Sewing machine,????
toy,racing set fixed power supply and made connections good now needs to source new cars,repairable,Lego,Unknown,????
mobile,sim tray has physical damage and needs to be replaced,repairable,Unknown,Unknown,????
portable radio,on off switch not working and is managed by microcontroller which needs roberts expertise to fix,repairable,Roberts,Unknown,????
small kitchen item,unable to take apart without breaking plastic cover suggested descale as heat plate likely limescaled up,repairable,Russell Hobbs,Unknown,????
hi fi separates,bluetooth speaker unable to access without breaking plastic holder suggest specialist attention,repairable,Unknown,Unknown,????
vacuum,cleaned out and replaced melted seal,fixed,Hoover,Unknown,????
mobile,screen needs sourcing and then we can help fix,repairable,Unknown,Unknown,????
small kitchen item,steamer ran out of time as came at end of session returning to fix,repairable,Unknown,Unknown,????
flat screen,screen broken,end of life,Samsung,Unknown,????
tablet,broken lead,fixed,Denver,Unknown,????
misc,digital frame dead,fixed,Unknown,Unknown,????
portable radio,loose screw,fixed,Unknown,Unknown,????
laptop,need to delete files,fixed,HP,Unknown,????
hair beauty item,hairdryer unstable contact,end of life,Unknown,Unknown,????
laptop,faulty keyboard,fixed,Lenovo,Unknown,????
laptop,fault on screen,repairable,Acer,Unknown,????
laptop,broken screen needs to be changed,fixed,Lenovo,yoga,????
hi fi separates,cd function does not work,fixed,Philips,Unknown,????
